90224451,root,root,
90224451,just_arrived_top_nav,Just Arrived,root
90224451,category_just_arrived,Category,just_arrived_top_nav
90224451,new-in-all,All,category_just_arrived
90224451,new-in-clothing,Clothing,category_just_arrived
90224451,new-in-accessories,Accessories,category_just_arrived
90224451,new-shoes,Shoes,category_just_arrived
90224451,clothing,Clothing,root
90224451,category_clothing,Category,clothing
90224451,dresses,Dresses,category_clothing
90224451,day-dresses,Day Dresses,dresses
90224451,occasion,Occasion Dresses,dresses
90224451,party-dresses,Party Dresses,dresses
90224451,prom-dresses,Prom Dresses,dresses
90224451,work-dresses,Work Dresses,dresses
90224451,all-tops,Tops,category_clothing
90224451,all-shirts,Shirts And Blouses,all-tops
90224451,going-out-tops,Going Out Tops,all-tops
90224451,halter-tops,Halter Tops,all-tops
90224451,off-shoulder-top,Off Shoulder Tops,all-tops
90224451,t-shirts,T-Shirts,all-tops
90224451,vests-and-camis,Vests And Cami's,all-tops
90224451,coats-casual-jackets,Coats And Jackets,category_clothing
90224451,biker-jackets,Biker Jackets,coats-casual-jackets
90224451,blazer,Blazers,coats-casual-jackets
90224451,coats,Coats,coats-casual-jackets
90224451,denim-jackets,Denim Jackets,coats-casual-jackets
90224451,jackets,Jackets,coats-casual-jackets
90224451,leather-jackets,Leather Jackets,coats-casual-jackets
90224451,waistcoats,Waistcoats,coats-casual-jackets
90224451,jumpers-cardigans,Jumpers And Cardigans,category_clothing
90224451,cardigans,Cardigans,jumpers-cardigans
90224451,jumpers,Jumpers,jumpers-cardigans
90224451,playsuits-jumpsuits,Jumpsuits And Playsuits,category_clothing
90224451,jumpsuits,Jumpsuits,playsuits-jumpsuits
90224451,playsuits,Playsuits,playsuits-jumpsuits
90224451,trousers,Trousers And Shorts,category_clothing
90224451,Shorts,Shorts,trousers
90224451,cropped-trousers,Cropped Trouser,trousers
90224451,culottes,Culottes,trousers
90224451,leggings,Leggings,trousers
90224451,skinny-trousers,Skinny Trousers,trousers
90224451,straight-trousers,Straight Trousers,trousers
90224451,wideleg-trouser,Wide Leg Trousers,trousers
90224451,skirts,Skirts,category_clothing
90224451,denim-skirts,Denim Skirts,skirts
90224451,maxi-skirts,Maxi Skirts,skirts
90224451,midi-skirts,Midi Skirts,skirts
90224451,mini-skirts,Mini Skirts,skirts
90224451,pencil-skirts,Pencil Skirts,skirts
90224451,skater-skirts,Skater Skirts,skirts
90224451,ware-denim,Denim,category_clothing
90224451,denim-dresses,Denim Dresses,ware-denim
90224451,denim-shirts,Denim Shirts,ware-denim
90224451,denim-shorts,Denim Shorts,ware-denim
90224451,jeans,Jeans,ware-denim
90224451,leather-suede,Leather And Suede,category_clothing
90224451,beachwear,Beachwear,category_clothing
90224451,trends_clothing,Trends,clothing
90224451,seasonal-offers,New Season Offers,trends_clothing
90224451,nineties-trend,Trending Now- 90s,trends_clothing
90224451,limited-edition,LIMITED EDITION,trends_clothing
90224451,holiday-shop,HOLIDAY SHOP,trends_clothing
90224451,festival-shop,Festival Shop,trends_clothing
90224451,occasionwear,OCCASIONWEAR,trends_clothing
90224451,prints,PRINTS,trends_clothing
90224451,workwear,WORKWEAR,trends_clothing
90224451,lace,LACE,trends_clothing
90224451,prairie,PRAIRIE,trends_clothing
90224451,as-seen-in-press,IN THE PRESS,trends_clothing
90224451,british-fashion-council,Lowri Edwards Collection,trends_clothing
90224451,newsletter-looks,NEWSLETTER LOOKS,trends_clothing
90224451,newsletter-outfits,NEWSLETTER OUTFITS,trends_clothing
90224451,accessories_top_nav,ACCESSORIES,root
90224451,category_accessories,CATEGORY,accessories_top_nav
90224451,accessories,ALL ACCESSORIES,category_accessories
90224451,tights-and-socks,TIGHTS AND SOCKS,accessories
90224451,shoes,SHOES,category_accessories
90224451,boots,BOOTS,shoes
90224451,flats,FLATS,shoes
90224451,heels,HEELS,shoes
90224451,sandals,SANDALS,shoes
90224451,trainers,TRAINERS,shoes
90224451,bags,BAGS AND PURSES,category_accessories
90224451,clutch-bags,CLUTCH BAGS,bags
90224451,day-bags,DAY BAGS,bags
90224451,goingout-bags,GOING OUT BAGS,bags
90224451,leather-bags,LEATHER BAGS,bags
90224451,purses,PURSES,bags
90224451,jewellery,JEWELLERY,category_accessories
90224451,bracelets,BRACELETS,jewellery
90224451,earrings,EARRINGS,jewellery
90224451,hair,HAIR ACCESSORIES,jewellery
90224451,necklaces,NECKLACES,jewellery
90224451,rings,RINGS,jewellery
90224451,scarves-hats,SCARVES AND HATS,category_accessories
90224451,hats,HATS,scarves-hats
90224451,capes,CAPES,scarves-hats
90224451,gloves,GLOVES,scarves-hats
90224451,scarves,SCARVES,scarves-hats
90224451,belts,BELTS,category_accessories
90224451,gifting-novelty,GIFTS,category_accessories
90224451,sunglasses,SUNGLASSES,category_accessories
90224451,sale_top_nav,SALE,root
90224451,category_sale,CATEGORY,sale_top_nav
90224451,sale,ALL SALE,category_sale
90224451,sale-coats-casual-jacket,JACKETS AND COATS,category_sale
90224451,saleclothing,CLOTHING,category_sale
90224451,sale-jumpers-cardigans,JUMPERS AND CARDIGANS,category_sale
90224451,sale-accessories,ACCESSORIES,category_sale
90224451,sale-skirts,SKIRTS,category_sale
90224451,sale-dresses,DRESSES,category_sale
90224451,sale-trousers,TROUSERS AND SHORTS,category_sale
90224451,sale-tops,TOPS,category_sale
90224451,sale-ware-denim,DENIM,category_sale
90224451,sale-beachwear,BEACHWEAR,category_sale
90224451,sale-playsuits-jumpsuits,JUMPSUITS AND PLAYSUITS,category_sale
90224451,all,ALL,root
90224451,hidden,Hidden Category,root
